(82,22,57)
(82,22,57)
(96,32,62)
(93,28,62)
(97,30,65)
(94,21,57)
(92,26,62)
(93,28,60)
(98,36,68)
(94,27,66)
(89,21,58)
(93,25,66)
(95,27,75)
(96,28,69)
(121,56,87)
(147,88,116)
(183,129,128)
(209,177,157)
(218,188,170)
(217,189,177)
(219,189,175)
(224,192,179)
(221,189,180)
(220,192,171)
(220,193,174)
(219,186,174)
(217,186,168)
(214,186,163)
(210,176,145)
(208,169,144)
(194,148,125)
(172,97,101)
(157,81,91)
(165,85,98)
(184,92,88)
(204,100,96)
(212,105,90)
(219,112,95)
(224,127,115)
(226,136,103)
(229,141,111)
(231,138,109)
(233,143,118)
(237,156,123)
(236,151,128)
(236,163,135)
(235,163,124)
(236,161,121)
(238,161,129)
(238,162,130)
(237,159,124)
(236,166,125)
(236,162,126)
(242,162,133)
(240,162,132)
(239,165,127)
(237,155,130)
(236,160,125)
(229,158,118)
(221,141,128)
(190,100,98)
(135,49,76)
(142,69,103)
(140,71,96)
(109,47,76)
(99,30,81)
(100,26,67)
(111,48,86)
(97,22,57)
(81,20,66)
(82,13,56)
(80,20,68)
(83,13,56)
(78,16,59)
(93,31,72)
(106,38,70)
(108,48,84)
(102,35,75)
(72,10,57)
(73,17,55)
(90,33,72)
(116,47,91)
(86,17,62)
(87,22,67)
(113,51,95)
(116,45,83)
(104,38,80)
(125,62,102)
(102,29,76)
(112,39,78)
(108,38,78)
(118,47,94)
(118,44,80)
(100,31,75)
(113,44,91)
(119,46,84)
(112,44,85)
(127,59,103)
(108,39,87)
(95,35,71)
(95,26,85)
(101,31,81)
(114,48,95)
(135,81,137)
(138,71,127)
(111,47,82)
(154,120,161)
(167,153,181)
(129,71,99)
(100,32,79)
(96,27,72)
(95,30,68)
(117,51,100)
(109,41,93)
(79,12,57)
(94,24,74)
(99,33,85)
(102,31,79)
(119,46,86)
(142,96,132)
(145,95,129)
(141,93,143)
(90,24,76)
(79,14,67)
(89,24,64)
(121,57,104)
(118,54,96)
(114,51,97)
(109,42,94)
(114,44,107)
(108,38,75)
(140,103,139)
(159,122,167)
(146,99,145)
(132,67,123)
(98,32,92)
(84,25,82)
(101,41,74)
(151,108,149)
(168,133,165)
(128,73,107)
(119,65,101)
(85,21,65)
(70,15,57)
(87,27,70)
(91,30,70)
(87,25,79)
(79,14,70)
(89,23,71)
(92,25,65)
(114,41,96)
(108,42,79)
(118,56,97)
(124,59,95)
(106,44,84)
(96,46,82)
(112,46,91)
(90,21,69)
(79,16,60)
(90,32,77)
(95,26,81)
(95,26,72)
(112,52,86)
(138,100,144)
(132,72,129)
(90,19,65)
(88,13,62)
(104,38,78)
(124,76,110)
(137,77,133)
(117,50,79)
(126,60,77)
(154,100,144)
(135,63,111)
(122,25,60)
(122,25,53)
(141,43,65)
(151,51,70)
(152,47,67)
(150,51,63)
(154,49,62)
(156,51,63)
(171,60,70)
(165,56,67)
(165,57,69)
(172,55,59)
(175,59,66)
(180,68,70)
(184,64,68)
(189,73,71)
(188,71,76)
(192,72,74)
(192,76,72)
(198,71,76)
(197,75,81)
(198,77,74)
(199,75,76)
(202,87,88)
(204,81,83)
(210,85,80)
(203,82,81)
(203,92,86)
(203,86,84)
(205,86,78)
(206,84,76)
(206,93,86)
(208,88,80)
(210,91,79)
(210,86,79)
(206,90,83)
(211,90,87)
(209,90,81)
(209,99,88)
(209,97,91)
(208,98,91)
(210,96,91)
(209,91,87)
(207,90,87)
(212,94,81)
(207,92,86)
(211,91,88)
(215,94,81)
(213,94,91)
(212,89,81)
(212,91,87)
(212,95,87)
(212,92,92)
(215,91,77)
(213,95,95)
(217,97,88)
(212,101,97)
(218,96,90)
(217,96,90)
(217,99,95)
(215,99,85)
(214,102,101)
(219,95,77)
(219,97,91)
(218,95,91)
(220,92,86)
(220,94,88)
(221,95,86)
(224,93,84)
(222,99,94)
(223,100,88)
(221,102,99)
(221,103,93)
(222,107,104)
(224,104,92)
(219,98,98)
(221,100,85)
(220,102,101)
(222,97,88)
(224,94,89)
(221,96,86)
(222,102,99)
(222,98,92)
(220,103,92)
(223,96,97)
(223,99,92)
(222,103,99)
(222,101,100)
(225,104,102)
(226,105,101)
(224,104,103)
(223,103,97)
(222,109,110)
(222,110,98)
(225,104,103)
(225,106,105)
(226,103,96)
(223,104,99)
(225,109,103)
(224,113,108)
(225,110,103)
(227,109,98)
(227,112,110)
(225,116,107)
(225,110,104)
(220,109,100)
(224,109,102)
(220,114,102)
(221,112,113)
(222,109,107)
(224,109,101)
(227,109,97)
(224,108,109)
(225,119,105)
(224,113,107)
(226,116,100)
(223,111,104)
(224,115,103)
(224,113,110)
(222,116,102)
(224,112,103)
(225,115,104)
(226,116,102)
(223,120,109)
(225,117,104)
(224,123,106)
(226,118,108)
(224,124,116)
(224,120,106)
(224,118,111)
(223,118,105)
(223,119,104)
(221,118,108)
(225,122,108)
(221,119,109)
(223,121,117)
(224,119,105)
(226,123,105)
(225,124,108)
(221,117,108)
(222,122,109)
(221,124,113)
(222,120,115)
(223,125,116)
(224,120,103)
(223,126,122)
(224,134,116)
(223,131,113)
(224,140,127)
(224,124,105)
(223,130,115)
(225,130,124)
(226,127,113)
(225,129,120)
(224,133,117)
(223,132,116)
(224,139,131)
(223,134,121)
(226,137,131)
(224,142,129)
(225,144,139)
(224,142,129)
(223,139,127)
(223,142,137)
(223,140,125)
(223,148,131)
(224,148,134)
(223,82,22)
(57,82,22)
(57,96,32)
(62,93,28)
(62,97,30)
(65,94,21)
(57,92,26)
(62,93,28)
(60,98,36)
(68,94,27)
(66,89,21)
(58,93,25)
(66,95,27)
(75,96,28)
(69,121,56)
(87,147,88)
(116,183,129)
(128,209,177)
(157,218,188)
(170,217,189)
(177,219,189)
(175,224,192)
(179,221,189)
(180,220,192)
(171,220,193)
(174,219,186)
(174,217,186)
(168,214,186)
(163,210,176)
(145,208,169)
(144,194,148)
(125,172,97)
(101,157,81)
(91,165,85)
(98,184,92)
(88,204,100)
(96,212,105)
(90,219,112)
(95,224,127)
(115,226,136)
(103,229,141)
(111,231,138)
(109,233,143)
(118,237,156)
(123,236,151)
(128,236,163)
(135,235,163)
(124,236,161)
(121,238,161)
(129,238,162)
(130,237,159)
(124,236,166)
(125,236,162)
(126,242,162)
(133,240,162)
(132,239,165)
(127,237,155)
(130,236,160)
(125,229,158)
(118,221,141)
(128,190,100)
(98,135,49)
(76,142,69)
(103,140,71)
(96,109,47)
(76,99,30)
(81,100,26)
(67,111,48)
(86,97,22)
(57,81,20)
(66,82,13)
(56,80,20)
(68,83,13)
(56,78,16)
(59,93,31)
(72,106,38)
(70,108,48)
(84,102,35)
(75,72,10)
(57,73,17)
(55,90,33)
(72,116,47)
(91,86,17)
(62,87,22)
(67,113,51)
(95,116,45)
(83,104,38)
(80,125,62)
(102,102,29)
(76,112,39)
(78,108,38)
(78,118,47)
(94,118,44)
(80,100,31)
(75,113,44)
(91,119,46)
(84,112,44)
(85,127,59)
(103,108,39)
(87,95,35)
(71,95,26)
(85,101,31)
(81,114,48)
(95,135,81)
(137,138,71)
(127,111,47)
(82,154,120)
(161,167,153)
(181,129,71)
(99,100,32)
(79,96,27)
(72,95,30)
(68,117,51)
(100,109,41)
(93,79,12)
(57,94,24)
(74,99,33)
(85,102,31)
(79,119,46)
(86,142,96)
(132,145,95)
(129,141,93)
(143,90,24)
(76,79,14)
(67,89,24)
(64,121,57)
(104,118,54)
(96,114,51)
(97,109,42)
(94,114,44)
(107,108,38)
(75,140,103)
(139,159,122)
(167,146,99)
(145,132,67)
(123,98,32)
(92,84,25)
(82,101,41)
(74,151,108)
(149,168,133)
(165,128,73)
(107,119,65)
(101,85,21)
(65,70,15)
(57,87,27)
(70,91,30)
(70,87,25)
(79,79,14)
(70,89,23)
(71,92,25)
(65,114,41)
(96,108,42)
(79,118,56)
(97,124,59)
(95,106,44)
(84,96,46)
(82,112,46)
(91,90,21)
(69,79,16)
(60,90,32)
(77,95,26)
(81,95,26)
(72,112,52)
(86,138,100)
(144,132,72)
(129,90,19)
(65,88,13)
(62,104,38)
(78,124,76)
(110,137,77)
(133,117,50)
